family,N,d,q,p,sample_idx,relax_core_ratio,relax_rounded_ratio,opt_warm_ratio,opt_cold_ratio
Gilbert,5,,0.1,9,13,0.0,1.0,0.75,0.5000000000000013
Gilbert,5,,0.1,9,14,0.3333333333333333,1.0,0.9999999999964014,0.9999999999737068
Gilbert,5,,0.1,9,15,0.125,1.0,0.9999999999997798,0.9999999999994929
Gilbert,5,,0.1,9,16,0.0,1.0,0.75,0.5000000000000013
Gilbert,5,,0.1,9,17,0.0,1.0,0.75,0.5000000000000013
Gilbert,5,,0.1,9,18,0.125,1.0,0.9999987961823233,0.9999999978427385
Gilbert,5,,0.1,9,19,0.125,1.0,0.9999999999997802,0.9999999999994932
Gilbert,5,,0.1,10,0,0.125,1.0,0.9999999815372432,0.9999999993375005
Gilbert,5,,0.1,10,1,0.0,1.0,0.75,0.4999999999999985
Gilbert,5,,0.1,10,2,0.0,1.0,0.75,0.4999999999999985
Gilbert,5,,0.1,10,3,0.125,1.0,0.9999999999996159,0.9999999999928522
Gilbert,5,,0.1,10,4,0.0,1.0,0.75,0.4999999999999985
Gilbert,5,,0.1,10,5,0.484375,0.75,0.9999999999733019,0.9999999998139989
Gilbert,5,,0.1,10,6,0.0,1.0,0.75,0.4999999999999985
Gilbert,5,,0.1,10,7,0.125,1.0,0.9999999999996162,0.9999999999928525
Gilbert,5,,0.1,10,8,0.125,1.0,0.9999999999996156,0.9999999999928528
Gilbert,5,,0.1,10,9,0.125,1.0,0.9999999999996156,0.9999999999928528
Gilbert,5,,0.1,10,10,0.3333333333333333,1.0,0.9999999999922246,0.9999999999970087
Gilbert,5,,0.1,10,11,0.125,1.0,0.9999999999996161,0.9999999999928527
Gilbert,5,,0.1,10,12,0.125,1.0,0.9999999999996166,0.9999999999928509
Gilbert,5,,0.1,10,13,0.0,1.0,0.75,0.4999999999999985
Gilbert,5,,0.1,10,14,0.3333333333333333,1.0,0.9999999999922234,0.9999999999970091
Gilbert,5,,0.1,10,15,0.125,1.0,0.9999999999996162,0.9999999999928525
Gilbert,5,,0.1,10,16,0.0,1.0,0.75,0.4999999999999985
Gilbert,5,,0.1,10,17,0.0,1.0,0.75,0.4999999999999985
Gilbert,5,,0.1,10,18,0.125,1.0,0.9999999314366582,0.9999999982166677
Gilbert,5,,0.1,10,19,0.125,1.0,0.9999999999996165,0.9999999999928525
Gilbert,5,,0.25,1,0,0.20833333333333334,1.0,0.8435492846645739,0.39802367869239436
Gilbert,5,,0.25,1,1,0.20833333333333334,1.0,0.8111970029275081,0.48607891094024724
Gilbert,5,,0.25,1,2,0.125,1.0,0.9216531477736112,0.8816805272182263
Gilbert,5,,0.25,1,3,0.125,1.0,0.9216531477736112,0.8816805272182263
Gilbert,5,,0.25,1,4,0.0,1.0,0.75,0.5000000000000002
Gilbert,5,,0.25,1,5,0.20833333333333334,1.0,0.8111970029275083,0.48607891094024724
Gilbert,5,,0.25,1,6,0.20833333333333334,1.0,0.8429650338722449,0.42792305966929406
Gilbert,5,,0.25,1,7,0.3333333333333333,1.0,0.8228259320804204,0.7098607832040397
Gilbert,5,,0.25,1,8,0.20833333333333334,1.0,0.8429650338722449,0.42792305966929406
Gilbert,5,,0.25,1,9,0.125,1.0,0.8646893704290834,0.5984406188950052
Gilbert,5,,0.25,1,10,0.20833333333333334,1.0,0.8435492846645737,0.39802367869239436
