family,N,d,q,p,relax_core_ratio_mean,relax_core_ratio_stderr,relax_rounded_ratio_mean,relax_rounded_ratio_stderr,opt_warm_ratio_mean,opt_warm_ratio_stderr,opt_cold_ratio_mean,opt_cold_ratio_stderr
Gilbert,9,,0.25,4,0.2296540178571429,0.016504343459493236,0.85,0.07059428186176941,0.8692642773969739,0.03953788149458163,0.7101955122247978,0.040638044286782124
Gilbert,9,,0.25,5,0.2296540178571429,0.016504343459493236,0.85,0.07059428186176941,0.8284064855473771,0.057526837788949854,0.7819952788124442,0.02690160552918797
Gilbert,9,,0.25,6,0.2296540178571429,0.016504343459493236,0.85,0.07059428186176941,0.8943091129371545,0.03698534506022649,0.794829349690275,0.03421951835355357
Gilbert,9,,0.25,7,0.2296540178571429,0.016504343459493236,0.85,0.07059428186176941,0.9102796110732475,0.03336860216968829,0.8385150077511361,0.02552766114106409
Gilbert,9,,0.25,8,0.2296540178571429,0.016504343459493236,0.85,0.07059428186176941,0.9376629380391469,0.024007581474305296,0.8309560047988906,0.028580198432551485
Gilbert,9,,0.25,9,0.2296540178571429,0.016504343459493236,0.85,0.07059428186176941,0.9076113416339853,0.0511526810597896,0.8855977051625686,0.018229743410503752
Gilbert,9,,0.25,10,0.2296540178571429,0.016504343459493236,0.85,0.07059428186176941,0.9591967541831072,0.01363991975763711,0.8774396905949657,0.020336219102366052
Gilbert,10,,0.1,1,0.14620535714285715,0.013508767108941,0.9958333333333332,0.004166666666666668,0.8135379334086222,0.04222956778587395,0.6659591112628087,0.03831471456039638
Gilbert,10,,0.1,2,0.14620535714285715,0.013508767108941,0.9958333333333332,0.004166666666666668,0.9025544937112937,0.03088266130353654,0.8312378533976716,0.02709741301997832
Gilbert,10,,0.1,3,0.14620535714285715,0.013508767108941,0.9958333333333332,0.004166666666666668,0.9405325448420179,0.02771244051697761,0.878948583954718,0.02705949168451656
Gilbert,10,,0.1,4,0.14620535714285715,0.013508767108941,0.9958333333333332,0.004166666666666668,0.9468821364187692,0.026974209728297175,0.9350255306114235,0.015632181188494316
Gilbert,10,,0.1,5,0.14620535714285715,0.013508767108941,0.9958333333333332,0.004166666666666668,0.9703370784897801,0.016814481052042692,0.9482964208538442,0.012994049087077412
Gilbert,10,,0.1,6,0.14620535714285715,0.013508767108941,0.9958333333333332,0.004166666666666668,0.9829788967703731,0.009147379188780336,0.9620387683404594,0.009128355159610598
Gilbert,10,,0.1,7,0.14620535714285715,0.013508767108941,0.9958333333333332,0.004166666666666668,0.9830304689304343,0.010771752100115247,0.9693941451174055,0.008643978406635309
Gilbert,10,,0.1,8,0.14620535714285715,0.013508767108941,0.9958333333333332,0.004166666666666668,0.9890242801288192,0.008221788560136582,0.9813762289656977,0.0052187264999256295
Gilbert,10,,0.1,9,0.14620535714285715,0.013508767108941,0.9958333333333332,0.004166666666666668,0.9887951626253486,0.008374575365828262,0.9916636005705299,0.0032550586219088494
Gilbert,10,,0.1,10,0.14620535714285715,0.013508767108941,0.9958333333333332,0.004166666666666668,0.9913920000173224,0.005948809606867753,0.9948910490490872,0.0018249620743016888
Gilbert,10,,0.25,1,0.2360267857142857,0.018854836739600693,0.8775000000000001,0.0503246042157679,0.45667392719272526,0.049323649128936796,0.36525760224967346,0.023485777849269685
Gilbert,10,,0.25,2,0.2360267857142857,0.018854836739600693,0.8775000000000001,0.0503246042157679,0.6844805221958212,0.04391043918260818,0.5594323523242879,0.028546636544717736
Gilbert,10,,0.25,3,0.2360267857142857,0.018854836739600693,0.8775000000000001,0.0503246042157679,0.8071138490031965,0.04484228035314693,0.620052248927907,0.04592729518246832
Gilbert,10,,0.25,4,0.2360267857142857,0.018854836739600693,0.8775000000000001,0.0503246042157679,0.8978692997848938,0.027760786623699695,0.7345149902522683,0.021401566123661273
Gilbert,10,,0.25,5,0.2360267857142857,0.018854836739600693,0.8775000000000001,0.0503246042157679,0.9144728198141256,0.026098458930306684,0.7595515101410378,0.021360803330124686
Gilbert,10,,0.25,6,0.2360267857142857,0.018854836739600693,0.8775000000000001,0.0503246042157679,0.9493727732331878,0.017747974825766424,0.8104207773334284,0.02134862634996091
Gilbert,10,,0.25,7,0.2360267857142857,0.018854836739600693,0.8775000000000001,0.0503246042157679,0.9544454788353729,0.01813146747138863,0.8398679762739766,0.02052404059659245
Gilbert,10,,0.25,8,0.2360267857142857,0.018854836739600693,0.8775000000000001,0.0503246042157679,0.9569891273636106,0.017871522705041998,0.8756471734691533,0.01780198908865059
Gilbert,10,,0.25,9,0.2360267857142857,0.018854836739600693,0.8775000000000001,0.0503246042157679,0.968474252179694,0.013940998298568676,0.8870378677871527,0.015298903400830947
