family,N,q,p,times_mean,times_stderr,evals_mean,evals_stderr,aratio_mean,aratio_stderr
Gilbert,11,0.25,10,78.50251718845684,9.595540638575033,1494.8,153.67127975722147,0.939740293222189,0.029001248886958403
Gilbert,12,0.25,10,131.7930572112091,20.195586170818313,2004.2,259.03932777347404,0.8767261838790166,0.024409083930666386
Gilbert,13,0.25,10,107.25428757166955,10.859934874078158,1581.0,130.61912400393578,0.9278909841640065,0.02603642649789125
Gilbert,14,0.25,10,158.47818868758623,13.790075754398538,1840.8,120.09300099876297,0.7884855887299371,0.06289760256674162
Gilbert,15,0.25,10,150.966809455771,21.015744899659644,1728.4,192.34478302141588,0.7835282610598586,0.04327691637655195
complete,5,,1,0.26281511900015175,nan,20.0,nan,0.5801787318458183,nan
complete,6,,1,0.34932319610379636,nan,24.0,nan,0.5064361795699952,nan
complete,7,,1,0.37601518584415317,nan,26.0,nan,0.4567043183174029,nan
complete,8,,1,0.448929751990363,nan,24.0,nan,0.4217547252063838,nan
complete,9,,1,0.6206765121314675,nan,32.0,nan,0.39665346912559585,nan
complete,10,,1,0.5735372859053314,nan,24.0,nan,0.48547756404623854,nan
complete,11,,1,0.6849758110474795,nan,24.0,nan,0.48553568955648885,nan
complete,12,,1,1.0273644810076803,nan,32.0,nan,0.4855761741348985,nan
complete,13,,1,1.109963363967836,nan,32.0,nan,0.48561196670053874,nan
complete,14,,1,1.2486129691824317,nan,30.0,nan,0.485647882165253,nan
complete,15,,1,1.6695445398800075,nan,36.0,nan,0.4856853988944536,nan
complete,16,,1,1.8241037467960268,nan,34.0,nan,0.4857246515008242,nan
complete,17,,1,2.177098365034908,nan,34.0,nan,0.48576527873420616,nan
complete,18,,1,2.8193641640245914,nan,36.0,nan,0.4858067842236409,nan
complete,19,,1,3.681345728924498,nan,42.0,nan,0.4858486844219527,nan
complete,20,,1,4.190261206123978,nan,40.0,nan,0.4858905623680698,nan
complete,5,,2,0.8251978801563382,nan,74.0,nan,0.6815264293803784,nan
complete,6,,2,1.083495584083721,nan,78.0,nan,0.07172309422880119,nan
complete,7,,2,1.1535489230882376,nan,72.0,nan,-1.658340025571973,nan
complete,8,,2,3.645353278145194,nan,170.0,nan,-0.6980026252486908,nan
complete,9,,2,1.9209768979344517,nan,78.0,nan,-1.8530530900667053,nan
complete,10,,2,2.0387117301579565,nan,68.0,nan,-0.16416032419403592,nan
complete,11,,2,2.612944379914552,nan,76.0,nan,-0.10005244892638743,nan
complete,12,,2,3.1679155309684575,nan,82.0,nan,-0.04579150018101075,nan
complete,13,,2,3.9942369039636105,nan,90.0,nan,-0.0008985523252427186,nan
complete,14,,2,4.3126304019242525,nan,84.0,nan,0.03553825510210373,nan
complete,15,,2,5.64948990684934,nan,96.0,nan,0.06476066033399519,nan
complete,16,,2,6.197791955899447,nan,88.0,nan,0.08798598253474665,nan
complete,17,,2,8.137732186121866,nan,92.0,nan,0.10630779322839601,nan
complete,18,,2,9.262492961948738,nan,90.0,nan,0.12066195403789948,nan
complete,19,,2,12.396631642943248,nan,104.0,nan,0.1318286639366022,nan
complete,20,,2,14.140131928026676,nan,100.0,nan,0.14044861734058856,nan
complete,5,,3,1.9108293899334967,nan,154.0,nan,0.8403663603109415,nan
complete,6,,3,2.05708741187118,nan,130.0,nan,0.8423136010058858,nan
complete,7,,3,2.307726816041395,nan,120.0,nan,-0.4754518553541578,nan
complete,8,,3,5.969846215099096,nan,248.0,nan,0.3367661732176188,nan
complete,9,,3,5.6650016428902745,nan,180.0,nan,-5.020313698083408,nan
complete,10,,3,10.345884870970622,nan,254.0,nan,0.7194679257738557,nan
complete,11,,3,9.141141022089869,nan,196.0,nan,0.7541682444452231,nan
complete,12,,3,11.895043968921527,nan,220.0,nan,0.7546956191611258,nan
complete,13,,3,14.142010033130646,nan,228.0,nan,0.7555734461247567,nan
complete,14,,3,17.65098511101678,nan,240.0,nan,0.7566099214339204,nan
complete,15,,3,20.509966854006052,nan,248.0,nan,0.7577084368605185,nan
complete,16,,3,26.889421256957576,nan,266.0,nan,0.7588154822251738,nan
complete,17,,3,28.975738652981818,nan,248.0,nan,0.7599001457661672,nan
complete,18,,3,35.89739442500286,nan,248.0,nan,0.7609445909133257,nan
complete,19,,3,44.791545253945515,nan,274.0,nan,0.7619392510432874,nan
complete,20,,3,56.07478979090229,nan,278.0,nan,0.7628796556926289,nan
complete,5,,5,9.995442901039496,nan,544.0,nan,0.9999999973884819,nan
complete,6,,5,8.461268918123096,nan,366.0,nan,0.933725979315577,nan
complete,7,,5,14.248809803044423,nan,462.0,nan,0.6366762585283414,nan
complete,8,,5,25.90664972597733,nan,676.0,nan,0.8610371080897554,nan
complete,9,,5,19.1022209150251,nan,434.0,nan,0.44151002331706835,nan
complete,10,,5,35.0113484938629,nan,628.0,nan,-2.2880522124917597,nan
complete,11,,5,42.010094149038196,nan,622.0,nan,0.9922270183236463,nan
