family,N,q,p,sample_idx,times,evals,aratio
Gilbert,8,0.25,4,6,4.493689219001681,248,0.754312745699764
Gilbert,8,0.25,4,7,3.378332929001772,198,0.9025408156342831
Gilbert,8,0.25,4,8,3.0578346549882554,210,0.9023649403186587
Gilbert,8,0.25,4,9,2.535555887996452,170,0.8651180567948756
Gilbert,9,0.25,4,0,3.4038355520024197,192,0.9850211668198721
Gilbert,9,0.25,4,1,3.863439926004503,216,0.9999999986845779
Gilbert,9,0.25,4,2,5.787118275999092,292,0.44142458646671856
Gilbert,9,0.25,4,3,5.210799171996769,236,0.6282150772704556
Gilbert,9,0.25,4,4,4.500522456000908,220,0.7396226864793878
Gilbert,9,0.25,4,5,7.741248039004859,354,0.9990143295512333
Gilbert,9,0.25,4,6,5.911117955998634,252,0.6416480626132822
Gilbert,9,0.25,4,7,5.3017768890131265,306,0.9937926474556763
Gilbert,9,0.25,4,8,1.8484444170026109,120,0.990273781270589
Gilbert,9,0.25,4,9,3.9887115830060793,226,0.875422150628556
Gilbert,10,0.25,4,0,5.892687088009552,272,0.9999999999358112
Gilbert,10,0.25,4,1,4.153656941009103,222,0.9240979652269545
Gilbert,10,0.25,4,2,4.221728226009873,194,0.7927107586073907
Gilbert,10,0.25,4,3,3.8097851620113943,190,0.9770296304778787
Gilbert,10,0.25,4,4,5.923091160002514,252,0.7564505932685031
Gilbert,10,0.25,4,5,7.942436858997098,308,0.7455292527523719
Gilbert,10,0.25,4,6,4.173778782991576,208,0.9670095368574062
Gilbert,10,0.25,4,7,6.878016257993295,334,0.9744421847892178
Gilbert,10,0.25,4,8,2.3497173729992937,158,0.9959745640002663
Gilbert,10,0.25,4,9,5.47088148300827,258,0.9999999998043645
