family,N,d,q,p,sample_idx,times_cold,times_warm,evals_cold,evals_warm,aratio_cold,aratio_warm
Gilbert,5,,0.25,2,6,0.4929041489958763,0.667413986986503,62,108,0.6636953026612443,0.9294579910434942
Gilbert,5,,0.25,2,7,0.41297302884049714,0.43851677188649774,54,60,0.9607353718803423,0.991447952877901
Gilbert,5,,0.25,2,8,0.48886382789351046,0.6705844290554523,62,108,0.6636953026612443,0.9294579910434941
Gilbert,5,,0.25,2,9,0.4296718700788915,0.7378586549311876,56,112,0.70759824722439,0.8742619963707232
Gilbert,5,,0.25,2,10,0.5215259168762714,0.5659750429913402,68,68,0.7086555675210491,0.9292994466798931
Gilbert,5,,0.25,2,11,0.6714683761820197,0.4503016450908035,92,62,0.8417319942414753,0.9459356698839209
Gilbert,5,,0.25,2,12,0.18059130804613233,0.19367230799980462,16,20,0.49999999999999967,0.75
Gilbert,5,,0.25,2,13,0.1801644079387188,0.19297914393246174,16,20,0.49999999999999967,0.75
Gilbert,5,,0.25,2,14,0.5220866829622537,0.4903911279980093,68,68,0.7086555675210491,0.9292994466798928
Gilbert,5,,0.25,2,15,0.7634373970795423,0.44960710196755826,92,62,0.8417319942414748,0.9459356698839203
Gilbert,5,,0.25,2,16,0.522402822971344,0.48926326213404536,68,68,0.7086555675210487,0.9292994466798928
Gilbert,5,,0.25,2,17,0.476475128903985,0.5430678159464151,58,72,0.5179045103468054,0.7170314718126622
Gilbert,5,,0.25,2,18,0.6725438490975648,0.5199612190481275,92,76,0.8417319942414753,0.9192924590850073
Gilbert,5,,0.25,2,19,0.5294325919821858,0.46086822100915015,76,62,0.741629332838243,0.8482934124708259
Gilbert,5,,0.25,3,0,1.4361305171623826,0.767382260877639,158,98,0.8634360061415892,0.9679022526226823
Gilbert,5,,0.25,3,1,1.1377371959388256,0.8339963729958981,138,98,0.9361544540962803,0.9612375696426856
Gilbert,5,,0.25,3,2,0.9066956990864128,1.0980738489888608,116,148,0.9999999999992133,0.999999999997756
Gilbert,5,,0.25,3,3,0.8467716800514609,1.0948112360201776,116,148,0.999999999999213,0.9999999999977558
Gilbert,5,,0.25,3,4,0.19489683397114277,0.20725752599537373,18,22,0.5000000000000004,0.75
Gilbert,5,,0.25,3,5,1.1386519391089678,0.7739854860119522,138,98,0.9361544540962798,0.9612375696426848
Gilbert,5,,0.25,3,6,1.2360611921176314,0.9970286281313747,134,136,0.92108924124005,0.9676961374146732
Gilbert,5,,0.25,3,7,1.1233787201344967,0.8334263041615486,132,108,0.9999999999819812,0.9999999999424986
Gilbert,5,,0.25,3,8,1.2405617069453,1.0044485409744084,134,136,0.9210892412400499,0.9676961374146732
Gilbert,5,,0.25,3,9,1.1057916849385947,1.3771719879005104,124,176,0.7346918252412937,0.9218388620558415
Gilbert,5,,0.25,3,10,1.4556738501414657,0.7751169831026345,158,98,0.863436006141589,0.9679022526226828
Gilbert,5,,0.25,3,11,1.0815419519785792,0.8524136880878359,138,98,0.9361544540962798,0.9612375696426853
Gilbert,5,,0.25,3,12,0.19412977807223797,0.2085001680534333,18,22,0.5000000000000004,0.75
Gilbert,5,,0.25,3,13,0.1947061070241034,0.2081061729695648,18,22,0.5000000000000004,0.75
