family,N,q,p,relax_ratio_mean,relax_ratio_stderr,opt_warm_ratio_mean,opt_warm_ratio_stderr,opt_cold_ratio_mean,opt_cold_ratio_stderr
Gilbert,12,0.25,7,0.14166666666666666,0.210661070014735,0.7968113694253735,0.040625891108603214,0.7543257373805188,0.02791915664881582
Gilbert,13,0.25,7,0.36357142857142855,0.2694577222807871,0.7371316874706959,0.06338042679695147,0.8083234021199301,0.02681824072934249
Gilbert,14,0.25,7,0.2461904761904762,0.2766826940325735,0.7895075067878257,0.06047471661648641,0.6962964697273754,0.08154426610040529
Gilbert,15,0.25,7,0.11398809523809525,0.24980074022449264,0.7004903087140333,0.07431361696154332,0.7039264084169338,0.03146335987690102
Gilbert,5,0.25,10,1.0,0.0,0.9749779825592804,0.024997557668940455,0.9497209193404167,0.04996962680128296
Gilbert,6,0.25,10,1.0,0.0,0.9749910375362016,0.024999005635470514,0.9430473827451786,0.04943011658974719
Gilbert,7,0.25,10,0.9625,0.0375,0.9859487643349782,0.013982142336606234,0.9180783859401386,0.020308585673736418
Gilbert,8,0.25,10,0.875,0.125,0.9943750999222966,0.005163484939454532,0.9194238109777515,0.033615662482904374
Gilbert,9,0.25,10,0.4875,0.22004576544184826,0.9331122126959126,0.02397830257915272,0.8786001061666073,0.026684656449498283
Gilbert,10,0.25,10,0.8300000000000001,0.14910846164230027,0.9783347367428924,0.01352058790839465,0.9253621867642234,0.016829645929494114
Gilbert,11,0.25,10,0.7183333333333333,0.12111748199349441,0.939740293222189,0.029001248886958403,0.887123950254243,0.030168422626558323
Gilbert,12,0.25,10,-0.039999999999999994,0.2511725588534457,0.8767261838790166,0.024409083930666386,0.8181681284750109,0.025427635911683757
Gilbert,13,0.25,10,0.40714285714285714,0.23868181712512723,0.9278909841640065,0.02603642649789125,0.8647585381242383,0.024124445519247827
Gilbert,14,0.25,10,0.3497619047619048,0.20794633746305394,0.7884855887299371,0.06289760256674162,0.8042669278934872,0.039491749687284826
Gilbert,15,0.25,10,-0.03154761904761904,0.18086283376760404,0.7835282610598586,0.04327691637655195,0.7960418083584033,0.019663122188606337
complete,5,,1,-1.5,nan,0.5801787318458183,nan,0.5801787318458196,nan
complete,6,,1,-1.5,nan,0.5064361795699952,nan,0.5064361795699917,nan
complete,7,,1,-1.5,nan,0.4567043183174029,nan,0.45670431831739844,nan
complete,8,,1,-1.5,nan,0.4217547252063838,nan,0.42175472520638735,nan
complete,9,,1,-16.5,nan,0.39665346912559585,nan,0.3966534691255994,nan
