family,N,q,p,sample_idx,relax_ratio,opt_warm_ratio,opt_cold_ratio
Gilbert,15,0.25,2,0,0.08333333333333333,0.4677399004979583,0.32506541325972726
Gilbert,15,0.25,2,1,1.0,0.856866648951433,0.5721689793780896
Gilbert,15,0.25,2,2,-0.7857142857142857,0.37092417128182525,0.380400355830021
Gilbert,15,0.25,2,3,-0.5833333333333334,0.3131973805841728,0.31319738058417457
Gilbert,15,0.25,2,4,-0.07142857142857142,0.43413913055040837,0.3885619520370523
Gilbert,15,0.25,2,5,0.75,0.5713587014386434,0.2850504188248662
Gilbert,15,0.25,2,6,-0.6666666666666666,0.34822261296441087,0.3943593335460405
Gilbert,15,0.25,2,7,0.07142857142857142,0.5019880365256328,0.51496715171443
Gilbert,15,0.25,2,8,0.35714285714285715,0.42603429959920874,0.4401723349907695
Gilbert,15,0.25,2,9,-0.5714285714285714,0.38389309593765414,0.5025292272535384
Gilbert,5,0.25,3,0,1.0,0.9679022526226823,0.8634360061415892
Gilbert,5,0.25,3,1,1.0,0.9612375696426856,0.9361544540962803
Gilbert,5,0.25,3,2,1.0,0.999999999997756,0.9999999999992133
Gilbert,5,0.25,3,3,1.0,0.9999999999977558,0.999999999999213
Gilbert,5,0.25,3,4,1.0,0.75,0.5000000000000004
Gilbert,5,0.25,3,5,1.0,0.9612375696426848,0.9361544540962798
Gilbert,5,0.25,3,6,1.0,0.9676961374146732,0.92108924124005
Gilbert,5,0.25,3,7,1.0,0.9999999999424986,0.9999999999819812
Gilbert,5,0.25,3,8,1.0,0.9676961374146732,0.9210892412400499
Gilbert,5,0.25,3,9,1.0,0.9218388620558415,0.7346918252412937
Gilbert,6,0.25,3,0,1.0,0.9970202377788032,0.9486945058593654
Gilbert,6,0.25,3,1,1.0,0.9626026312237277,0.7421074210774208
Gilbert,6,0.25,3,2,1.0,0.9970202377788032,0.9486945058593665
Gilbert,6,0.25,3,3,1.0,0.9401494077148959,0.4343785939532024
Gilbert,6,0.25,3,4,1.0,0.9755846039986674,0.8497517022411463
Gilbert,6,0.25,3,5,1.0,0.999999999998822,0.9999999999259916
Gilbert,6,0.25,3,6,1.0,0.9895588674830146,0.8656202793604025
Gilbert,6,0.25,3,7,1.0,0.7500000000000001,0.5000000000000004
Gilbert,6,0.25,3,8,1.0,0.9912131904111391,0.8808879956694371
Gilbert,6,0.25,3,9,1.0,0.9999999999988224,0.9999999999259919
Gilbert,7,0.25,3,0,0.625,0.603067821405787,0.6475755670630984
Gilbert,7,0.25,3,1,1.0,0.9575140173390012,0.8075098986841913
Gilbert,7,0.25,3,2,1.0,0.9280279116105488,0.6338791544052733
Gilbert,7,0.25,3,3,1.0,0.9685725591061642,0.6369809729884549
Gilbert,7,0.25,3,4,1.0,0.9634221413093897,0.9250938110027856
Gilbert,7,0.25,3,5,1.0,0.9749739788481737,0.950280008371665
Gilbert,7,0.25,3,6,1.0,0.9999999999995882,0.6996832977785596
Gilbert,7,0.25,3,7,1.0,0.9754258177091677,0.7187049969685304
Gilbert,7,0.25,3,8,1.0,0.9999999999999831,0.7137310807756337
Gilbert,7,0.25,3,9,1.0,0.9400060494489362,0.5951154662372056
Gilbert,8,0.25,3,0,1.0,0.9723323013990252,0.6961807924671887
Gilbert,8,0.25,3,1,1.0,0.8097057623295711,0.44814612973292645
Gilbert,8,0.25,3,2,1.0,0.787445465513508,0.7902441938275555
Gilbert,8,0.25,3,3,0.625,0.4341149456989675,0.6668005488566819
Gilbert,8,0.25,3,4,1.0,0.9999999999951017,0.5614152018718142
Gilbert,8,0.25,3,5,1.0,0.9723488037748925,0.7993217418618336
Gilbert,8,0.25,3,6,1.0,0.6041686947033511,0.5780109042600603
Gilbert,8,0.25,3,7,1.0,0.6055308471388636,0.764007926142184
Gilbert,8,0.25,3,8,1.0,0.7886627656624067,0.7789044515306061
Gilbert,8,0.25,3,9,1.0,0.8414760944712645,0.7392617704645249
Gilbert,9,0.25,3,0,1.0,0.9747045860114071,0.6869811530285574
Gilbert,9,0.25,3,1,1.0,0.9257540836823779,0.4876312725001988
Gilbert,9,0.25,3,2,-0.875,0.7284057553345786,0.8024993516206882
Gilbert,9,0.25,3,3,-0.875,0.5479210381995703,0.5479210381995665
Gilbert,9,0.25,3,4,-0.875,0.3288473478810752,0.45668126972047784
Gilbert,9,0.25,3,5,1.0,0.8468606434189926,0.6112056011636909
Gilbert,9,0.25,3,6,-0.25,0.27234802542451897,0.2723480254245196
Gilbert,9,0.25,3,7,1.0,0.9712532669128863,0.8414653850500874
Gilbert,9,0.25,3,8,1.0,0.9796403242694622,0.8493327064288652
Gilbert,9,0.25,3,9,0.875,0.8481265756306163,0.6491352517544351
Gilbert,10,0.25,3,0,1.0,0.9584872471711633,0.7257105557626948
Gilbert,10,0.25,3,1,1.0,0.903478891546154,0.807594392450901
Gilbert,10,0.25,3,2,1.0,0.789426077995602,0.21036780334719643
Gilbert,10,0.25,3,3,1.0,0.9999999999993703,0.7603898063184664
Gilbert,10,0.25,3,4,-0.1,0.6759942511812383,0.6061241559847338
Gilbert,10,0.25,3,5,-0.5,0.28039803938560864,0.2803980393856104
Gilbert,10,0.25,3,6,1.0,0.999999999994493,0.7040133676743755
Gilbert,10,0.25,3,7,1.0,0.643693122372644,0.7047719658302524
Gilbert,10,0.25,3,8,1.0,0.9924384988958634,0.897156967816058
Gilbert,10,0.25,3,9,1.0,0.8566188299869021,0.45540064213877063
Gilbert,11,0.25,3,0,1.0,0.952175508510556,0.5816991827854079
Gilbert,11,0.25,3,1,1.0,0.5808168646127878,0.6189948583232443
Gilbert,11,0.25,3,2,-1.2,0.4944528629036514,0.4944528629036533
Gilbert,11,0.25,3,3,1.0,0.39959706934948686,0.6027188195038989
Gilbert,11,0.25,3,4,0.8,0.4940406539142077,0.8162699906774487
Gilbert,11,0.25,3,5,0.6,0.22710607077603556,0.7735751313667233
Gilbert,11,0.25,3,6,0.9,0.9090755014279484,0.6416613189131972
Gilbert,11,0.25,3,7,1.0,0.9494916838851144,0.66232818709928
Gilbert,11,0.25,3,8,0.5,0.6191512242346625,0.5188821366879359
Gilbert,11,0.25,3,9,1.0,0.9999999998969188,0.6700776525701699
Gilbert,12,0.25,3,0,0.4,0.4782526811956763,0.6624877583286564
Gilbert,12,0.25,3,1,1.0,0.7645751039285482,0.5544268307841023
Gilbert,12,0.25,3,2,0.08333333333333333,0.6642660108461028,0.3727880056012443
Gilbert,12,0.25,3,3,0.4,0.6672166808152212,0.6672166808152837
Gilbert,12,0.25,3,4,0.4,0.46098305092593284,0.46098305092592823
Gilbert,12,0.25,3,5,-2.4,0.5268501740216285,0.526850174021764
Gilbert,12,0.25,3,6,-0.25,0.6736602554601081,0.7262820851887247
Gilbert,12,0.25,3,7,-1.3,0.5078669120244094,0.434577694064037
Gilbert,12,0.25,3,8,-0.1,0.5468889775096416,0.5468889775096368
Gilbert,12,0.25,3,9,1.0,0.9992782073042714,0.3974689950574682
Gilbert,13,0.25,3,0,1.0,0.9001243311759947,0.5273446341836819
Gilbert,13,0.25,3,1,1.0,0.8097017204016468,0.8652489119038095
Gilbert,13,0.25,3,2,1.0,0.8116448532418437,0.6657694123350933
Gilbert,13,0.25,3,3,0.16666666666666666,0.46828281514616893,0.45095799324258606
Gilbert,13,0.25,3,4,-0.08333333333333333,0.5887111441300946,0.5887111441300923
Gilbert,13,0.25,3,5,0.7857142857142857,0.7427240756538913,0.5199127329549741
Gilbert,13,0.25,3,6,-0.9166666666666666,0.45192499395965385,0.4519249939596494
Gilbert,13,0.25,3,7,1.0,0.5686208581684496,0.504762475279813
Gilbert,13,0.25,3,8,1.0,0.9264034519437868,0.5975187492268821
Gilbert,13,0.25,3,9,-0.5,0.5825590219347087,0.5825590219348674
Gilbert,14,0.25,3,0,0.6666666666666666,0.7136763679323681,0.2773622179684745
Gilbert,14,0.25,3,1,1.0,0.7704020630568705,0.19703416310601618
Gilbert,14,0.25,3,2,0.6666666666666666,0.36379773405755794,0.36379773405755406
Gilbert,14,0.25,3,3,1.0,0.999191338087182,0.6176170961968547
Gilbert,14,0.25,3,4,1.0,0.7393169625567143,0.599501535741816
Gilbert,14,0.25,3,5,-0.5833333333333334,0.27840253168212614,0.2764969773170793
Gilbert,14,0.25,3,6,0.5714285714285714,0.4858833518175732,0.6070637345845736
Gilbert,14,0.25,3,7,0.5,0.2715980074149405,0.5503925117143788
Gilbert,14,0.25,3,8,1.0,0.8854659131404523,0.4058001694481896
Gilbert,14,0.25,3,9,-2.1,0.5934084199185177,0.5934084199187524
Gilbert,15,0.25,3,0,0.3333333333333333,-0.02834212420033344,0.4922181233424208
Gilbert,15,0.25,3,1,1.0,0.9317695322629618,0.6579773980384716
Gilbert,15,0.25,3,2,0.35714285714285715,0.505537817560402,0.5006448961095459
Gilbert,15,0.25,3,3,0.4166666666666667,0.49021623732843195,0.4925768463768703
Gilbert,15,0.25,3,4,-0.07142857142857142,0.2710418293495674,0.42325563626112
Gilbert,15,0.25,3,5,0.5625,0.44997412606001663,0.6025404214507988
Gilbert,15,0.25,3,6,-0.08333333333333333,0.3200452362142155,0.4093061353786635
Gilbert,15,0.25,3,7,-2.4285714285714284,0.4765118655394985,0.6286035352409847
Gilbert,15,0.25,3,8,0.2857142857142857,0.41726527015696885,0.38989548315898
Gilbert,15,0.25,3,9,-0.35714285714285715,0.429944074816428,0.5416017094375511
Gilbert,5,0.25,5,0,1.0,0.9895627368385694,0.8934292517685029
Gilbert,5,0.25,5,1,1.0,0.9970986435107219,0.99125968927552
Gilbert,5,0.25,5,2,1.0,0.9999999997879825,0.9999999999073254
Gilbert,5,0.25,5,3,1.0,0.9999999997879825,0.9999999999073259
Gilbert,5,0.25,5,4,1.0,0.75,0.5000000000000007
Gilbert,5,0.25,5,5,1.0,0.9970986435078592,0.99125968927552
Gilbert,5,0.25,5,6,1.0,0.9906675589598098,0.9382090356314782
Gilbert,5,0.25,5,7,1.0,0.9999999999999091,0.999999999999202
Gilbert,5,0.25,5,8,1.0,0.9906675589598085,0.9382090358686996
Gilbert,5,0.25,5,9,1.0,0.9681792548913513,0.9521920233497685
